Code	Name	Active	Emolument	Notify	Print	Online	Category	Processors	language	documentPurposeType	otherDocumentPurpose	isDetailed	isUrgent	cycleType	programConclusion	numberOfUnits	numberOfDays	numberOfPages	executionYear	curricularPlan	approvedExtraCurriculum	approvedStandaloneCurriculum	approvedEnrolments	curriculum	enrolmentsByYear
CERT_CARGAS_HOR_CON_PROG_LIVRO_TERMOS	"{""pt-PT"":""Certificado de cargas horárias e conteúdos programáticos (livro de termos)"",""en-GB"":""Certificado de cargas horárias e conteúdos programáticos (livro de termos)""}"	Y	Y	N	N	N	CERTIFICATES		Y/Y/1	0	0	0	0	0	0	Y/Y/2	0	0	0	0	0	0	0	0	0
ADMISSAO_PROVAS_ACADEMICAS_DOUTORAMENTO	"{""pt-PT"":""Admissão a Provas Académicas - Doutoramento"",""en-GB"":""Admissão a Provas Académicas - Doutoramento""}"	Y	Y	N	N	N	SERVICES		0	0	0	0	0	0	0	0	0	0	Y/Y/1	0	0	0	0	0	0
ADMISSAO_PROVAS_ACADEMICAS_MESTRADO	"{""pt-PT"":""Admissão a Provas Académicas - Mestrado"",""en-GB"":""Admissão a Provas Académicas - Mestrado""}"	Y	Y	N	N	N	SERVICES		0	0	0	0	0	0	0	0	0	0	Y/Y/1	0	0	0	0	0	0
CANDIDATURA_DOUTORAMENTO	"{""pt-PT"":""Candidatura: Doutoramento"",""en-GB"":""Application: PhD""}"	Y	Y	N	N	N	SERVICES		0	0	0	0	0	0	0	0	0	0	Y/Y/1	0	0	0	0	0	0
CANDIDATURA_MESTRADO	"{""pt-PT"":""Candidatura: Mestrado"",""en-GB"":""Application: Master Degree""}"	Y	Y	N	N	N	SERVICES		0	0	0	0	0	0	0	0	0	0	Y/Y/1	0	0	0	0	0	0
CANDIDATURA_UNIDADES_CURRICULARES_ISOLADAS	"{""pt-PT"":""Candidatura: Unidades Curriculares Isoladas"",""en-GB"":""Application: Assorted courses""}"	Y	Y	N	N	N	SERVICES		0	0	0	0	0	0	0	0	0	0	Y/Y/1	0	0	0	0	0	0
CERTIDAO_APTIDAO_OUTRAS	"{""pt-PT"":""Certidão de aptidão e outras"",""en-GB"":""Certidão de aptidão e outras""}"	Y	Y	N	N	N	SERVICES		0	0	0	0	0	0	0	0	0	0	Y/Y/1	0	0	0	0	0	0
PEDIDO_MUDANCA_UNIDADE_CURRICULAR	"{""pt-PT"":""Pedido de Mudança de Unidade Curricular"",""en-GB"":""Pedido de Mudança de Unidade Curricular""}"	Y	Y	N	N	N	SERVICES		0	0	0	0	0	0	0	0	0	0	Y/Y/1	0	0	0	0	0	0
PEDIDO_CREDITACAO_COMPETENCIAS_ACADEMICAS	"{""pt-PT"":""Pedido de creditação de Competências Académicas"",""en-GB"":""Pedido de creditação de Competências Académicas""}"	Y	Y	N	N	N	SERVICES		0	0	0	0	0	0	0	Y/Y/2	0	0	Y/Y/1	0	0	0	0	0	0
PEDIDO_PERMUTA	"{""pt-PT"":""Pedido de permuta"",""en-GB"":""Pedido de permuta""}"	Y	Y	N	N	N	SERVICES		0	0	0	0	0	0	0	0	0	0	Y/Y/1	0	0	0	0	0	0
PORTES_CORREIO_INTERNACIONAL	"{""pt-PT"":""Portes de Correio (Internacional)"",""en-GB"":""International Post Fees""}"	Y	Y	N	N	N	SERVICES		0	0	0	0	0	0	0	0	0	0	Y/Y/1	0	0	0	0	0	0
PORTES_CORREIO_NACIONAL	"{""pt-PT"":""Portes de Correio (Nacional)"",""en-GB"":""National Post Fees""}"	Y	Y	N	N	N	SERVICES		0	0	0	0	0	0	0	0	0	0	Y/Y/1	0	0	0	0	0	0
PRATICA_ATOS_FORA_PRAZO	"{""pt-PT"":""Prática de Atos Fora do Prazo"",""en-GB"":""Prática de Atos Fora do Prazo""}"	Y	Y	N	N	N	SERVICES		0	0	0	0	0	0	0	0	Y/Y/2	0	Y/Y/1	0	0	0	0	0	0
CARTA_CURSO_2_VIA	"{""pt-PT"":""Carta de Curso - 2º Via""}"	N	Y	N	N	N	CERTIFICATES		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CARTA_TITULO_2_VIA	"{""pt-PT"":""Carta de Título - 2º Via""}"	N	Y	N	N	N	CERTIFICATES		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CARTA_TITULO_AGREGACAO	"{""pt-PT"":""Carta de Título - Agregação""}"	N	Y	N	N	N	CERTIFICATES		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CARTA_TITULO_HABILITACAO_COORDENACAO_CIENTIFICA	"{""pt-PT"":""Carta de Título - Habilitação para Coordenação Científica""}"	N	Y	N	N	N	CERTIFICATES		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CERTIDAO_CONDUTA_ACADEMICA	"{""pt-PT"":""Certidão de Conduta Académica""}"	N	Y	N	N	N	CERTIFICATES		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CERTIDAO_EQUIVALENCIA_GRAU	"{""pt-PT"":""Certidão de Equivalência""}"	N	Y	N	N	N	CERTIFICATES		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CERTIDAO_PROVAS_APTIDAO_PEDAGOGICA	"{""pt-PT"":""Certidão de Provas de Aptidão Pedagógica e Capacidade Ciêntifica""}"	N	Y	N	N	N	CERTIFICATES		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CERTIDAO_RECONHECIMENTO_GRAU	"{""pt-PT"":""Certidão de Reconhecimento""}"	N	Y	N	N	N	CERTIFICATES		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CERTIDAO_CONCLUSAO_CURSO_DOUTORAMENTO	"{""pt-PT"":""Certidão de conclusão do curso de Doutoramento""}"	N	Y	N	N	N	CERTIFICATES		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CERTIDAO_CONCLUSAO_CURSO_ESPECIALIZACAO	"{""pt-PT"":""Certidão de conclusão do curso de Especialização""}"	N	Y	N	N	N	CERTIFICATES		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CERTIDAO_CONCLUSAO_CURSO_MESTRADO	"{""pt-PT"":""Certidão de conclusão do curso de Mestrado""}"	N	Y	N	N	N	CERTIFICATES		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CERTIDAO_OBTENCAO_TITULO_AGREGADO	"{""pt-PT"":""Certidão de título de agregado e das capacidades ciêntificas""}"	N	Y	N	N	N	CERTIFICATES		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHOTOCOPY	"{""pt-PT"":""Certidão por Fotocópia""}"	N	Y	N	N	N	CERTIFICATES		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CERTIFICADO_NARRATIVA_TEOR	"{""pt-PT"":""Certificado de narrativa ou de teor""}"	N	Y	N	N	N	CERTIFICATES		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DIPLOMA_CURSO_DOUTORAMENTO	"{""pt-PT"":""Diploma — Curso de doutoramento (componente curricular) ""}"	N	Y	N	N	N	CERTIFICATES		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DIPLOMA_CURSO_ESPECIALIZACAO	"{""pt-PT"":""Diploma — Curso de especialização""}"	N	Y	N	N	N	CERTIFICATES		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DIPLOMA_CURSO_MESTRADO	"{""pt-PT"":""Diploma — Curso de mestrado (componente curricular)""}"	N	Y	N	N	N	CERTIFICATES		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PROCESSO_EQUIVALENCIA_GRAU	"{""pt-PT"":""Processos de Equivalência de Grau""}"	N	Y	N	N	N	CERTIFICATES		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PROCESSO_RECONHECIMENTO_GRAU	"{""pt-PT"":""Processos de Reconhecimento de Grau""}"	N	Y	N	N	N	CERTIFICATES		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DIPLOMA_SUPPLEMENT	"{""pt-PT"":""Suplemento ao Diploma"",""en-GB"":""Diploma Supplement""}"	Y	N	N	N	N	CERTIFICATES		Y/Y/1	0	0	0	0	0	Y/Y/2	0	0	0	0	0	0	0	0	0	0
SUPLEMENTO_DIPLOMA_2_VIA	"{""pt-PT"":""Suplemento ao Diploma - 2º Via""}"	N	Y	N	N	N	CERTIFICATES		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADMISSAO_PROVAS_ACADEMICAS_AGREGACAO	"{""pt-PT"":""Admissão a Provas Académicas — Agregação""}"	N	Y	N	N	N	SERVICES		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADMISSAO_PROVAS_ACADEMICAS_DOUTORAMENTO_ART_33_DL_74_2006	"{""pt-PT"":""Admissão a Provas Académicas — Doutoramento art. 33.º do DL n.º 74/2006""}"	N	Y	N	N	N	SERVICES		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADMISSAO_PROVAS_ACADEMICAS_HABILITACAO_COORDENACAO_CIENTIFICA	"{""pt-PT"":""Admissão a Provas Académicas — Habilitação para o Exercício de Atividades de Coordenação Científica""}"	N	Y	N	N	N	SERVICES		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AVERBAMENTO	"{""pt-PT"":""Averbamento""}"	N	Y	N	N	N	SERVICES		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CANDIDATURA_MUDANCA_CURSO	"{""pt-PT"":""Candidatura: Mudança de Curso""}"	N	Y	N	N	N	SERVICES		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CANDIDATURA_MUDANCA_CURSO_ALUNOS_ULISBOA	"{""pt-PT"":""Candidatura: Mudança de Curso (Alunos ULisboa)""}"	N	Y	N	N	N	SERVICES		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CANDIDATURA_OUTRO	"{""pt-PT"":""Candidatura: Outro concurso especial de acesso""}"	N	Y	N	N	N	SERVICES		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CANDIDATURA_OUTRO_ALUNOS_ULISBOA	"{""pt-PT"":""Candidatura: Outro concurso especial de acesso (Alunos ULisboa)""}"	N	Y	N	N	N	SERVICES		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CANDIDATURA_REINGRESSO	"{""pt-PT"":""Candidatura: Reingresso""}"	N	Y	N	N	N	SERVICES		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CANDIDATURA_REINGRESSO_ALUNOS_ULISBOA	"{""pt-PT"":""Candidatura: Reingresso (Alunos da ULisboa)""}"	N	Y	N	N	N	SERVICES		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CANDIDATURA_TRANSFERENCIA	"{""pt-PT"":""Candidatura: Transferência""}"	N	Y	N	N	N	SERVICES		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CANDIDATURA_TRANSFERENCIA_ALUNOS_ULISBOA	"{""pt-PT"":""Candidatura: Transferência (Alunos ULisboa)""}"	N	Y	N	N	N	SERVICES		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOTOCOPIA	"{""pt-PT"":""Fotocópia""}"	N	Y	N	N	N	SERVICES		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PEDIDO_REGISTO_GRAUS_DL_341_2007	"{""pt-PT"":""Pedido de Registo de Graus - DL n.º 341/2007, de 12 outubro""}"	N	Y	N	N	N	SERVICES		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PEDIDO_CREDITACAO_COMPETENCIAS_PROFISSIONAIS	"{""pt-PT"":""Pedido de creditação de Competências Profissionais""}"	N	Y	N	N	N	SERVICES		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PROVAS_AVALIACAO_CAPACIDADE_M23_ADMISSAO	"{""pt-PT"":""Provas de capacidade para frequência em Maiores de 23 anos — Admissão a provas""}"	N	Y	N	N	N	SERVICES		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PROVAS_AVALIACAO_CAPACIDADE_M23_RECLAMACAO	"{""pt-PT"":""Provas de capacidade para frequência em Maiores de 23 anos — Reclamação da classificação das provas""}"	N	Y	N	N	N	SERVICES		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REVISAO_PROVAS_CAUCAO	"{""pt-PT"":""Revisão de provas — caução""}"	N	Y	N	N	N	SERVICES		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VALIDACAO_PROCESSOS_ACESSO_M23_OUTRAS_INSTITUICOES	"{""pt-PT"":""Validação de processos de acesso de Maiores de 23 anos (outras Instituições)""}"	N	Y	N	N	N	SERVICES		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
